Matricula; Nome; idade; P1; P2; P3
113683; Maycon; 21; 20; 18; 15
113684; Mariana; 24; 20; 19; 18
113685; Josue; 17; 22; 15; 14
113686; Isabela; 20; 18; 17; 19
113687; Pedro; 19; 16; 20; 18
113688; Fernanda; 22; 19; 21; 22
113689; André; 23; 17; 18; 16
113690; Luiza; 25; 20; 22; 19
113691; Rafael; 18; 15; 16; 17
113692; Carolina; 27; 23; 24; 21
113693; Gustavo; 29; 22; 23; 24
113694; Renata; 28; 25; 24; 26
113695; Lucas; 30; 26; 28; 29
113696; Bruna; 31; 27; 30; 28
113697; Matheus; 32; 28; 27; 30
113698; Ana; 35; 30; 29; 30
113699; Gabriel; 33; 29; 28; 27
113700; Beatriz; 36; 30; 30; 28
113701; Juliano; 40; 25; 22; 26
113702; Sofia; 39; 28; 29; 30
